course_name,institution,location,description,cost,dur_period,dur_number,extra_0,extra_1,extra_2,extra_3,extra_4,class,degree,enrollment,online,in_person,blended_learning
Information Technology,University of Southern Queensland,"Toowoomba, Queensland, Australia","On completion of the Information Technology program from the University of Southern Queensland, graduates will have broad and coherent knowledge and skills, with a level of depth in one or more chosen disciplines of science suitable for professional work and/or further study.","20,434 EUR / year",month,36.0,Bachelor,Full-time,Part-time,Online,,Bachelor's,Bachelor,Full-time & Part-time,Yes,Yes,No
Statistics (Hons),Universiti Teknologi Mara,"Kuala Lumpur, Malaysia","Bachelors of Science Statistics (Hons) from Universiti Teknologi Mara graduates are equipped with analytical skills. With an increasing interest in data analysis tools for decision making, statistics graduates are in high demand by both the public and private sectors. ",,month,42.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Business Analytics (Honours),Sheffield Hallam University,"Sheffield, England, United Kingdom",This Business Analytics (Honours) programme from Sheffield Hallam University focus on the power and usage of data and analytics in business.,"15,024 EUR / year",month,36.0,B.A.,Full-time,,,,Bachelor's,B.A.,Full-time,No,No,No
Information Technology,Saint Joseph's University,"Philadelphia, Pennsylvania, United States","Saint Joseph’s University Information Technology major enables students to maintain a business network infrastructure. With a curriculum focused on designing, developing, deploying and maintaining computer-based systems, IT professionals are integral assets to any organization. ","40,250 EUR / year",month,48.0,Bachelor,Full-time,,,,Bachelor's,Bachelor,Full-time,No,No,No
Information Systems (SUNY-ESC),New York College,"Athens, Greece","Upon successful completion of this BS. in Information Systems (SUNY-ESC) program students will be able to: demonstrate in-depth knowledge of Systems Analysis, Data Communications, Database Systems Software Engineering, E-Commerce and Web Design, Object-Oriented Programming (Java and/or Visual Basic) as well as a basic understanding of Microprocessor Design and Design of computing Languages.","8,000 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Statistics,Northern Kentucky University,"Highland Heights, Kentucky, United States","Statistics is the science of learning from data at Northern Kentucky University, whether those data come from biology, economics, engineering, medicine, public health, psychology, marketing, sports, or education.","17,175 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Information Technology (Hons),Engineering and Technology College,Multiple locations,"Interested in designing IT products and services that solve real problems? Featuring a year in industry, the Information Technology (Hons) course from University of Derby focuses on user-centred design and big data analytics to enhance your employability.","15,459 EUR / year",month,36.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Computer Science (Artificial Intelligence) (Hons),University of Hertfordshire,"Hatfield, England, United Kingdom","Artificial intelligence (AI) is a discipline in which computers and other devices are designed and developed to display intelligent characteristics. This Computer Science (Artificial Intelligence) (Hons) programme, offered by University of Hertfordshire, adds a specialism in AI to a broad base in technology and software development.","14,309 EUR / year",month,36.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Computer Information Technology,Texas Christian University,"Fort Worth, Texas, United States","Both Computer Science and Computer Information Technology majors first learn the fundamentals of designing and testing computer programs, software development, and data structures. ","40,501 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Statistics,University of Chicago,"Chicago, Illinois, United States","In the Department of Statistics at University of Chicago—among the top 5 of 65 statistics programs in the nation—the faculty involves students in the invention, study, and development of principles and methods for modeling uncertainty via mathematical probability; for designing experiments, surveys, and observational programs; and for analyzing and interpreting analytical data.","49,820 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Business Administration - Data Analytics,University at Buffalo,"Buffalo, New York, United States","Our programs provide you with an educational experience that offers both quality and value. We offer a bachelor degree in Business Administration - Data Analytics at the University at Buffalo. We emphasize broad exposure to quantitative reasoning, social sciences, soft skills, and a general management education required to compete in today's global market.","21,383 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Information Technology and Science,Monash University,"Caulfield North, Victoria, Australia","During the Information Technology and Science program at Monash University, you will acquire creative and analytical skills to use IT to advance science. This could be anything from designing a stunning visualization of scientific data, to building an app for fieldwork data collection to setting up the business IT processes to deliver a scientific product via the internet. ","26,838 EUR / year",month,48.0,Bachelor,Full-time,Part-time,,,Bachelor's,Bachelor,Full-time & Part-time,No,No,No
Environmental Analysis and Planning,Frostburg State University,"Frostburg, Maryland, United States","The four-year bachelor’s curriculum is unique among environmental science programs because students not only receive the scientific background needed to analyze environmental challenges, but they also get the technical skills required to design solutions that mitigate the problems. ","17,562 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Business Analytics,Grand Canyon University,"Phoenix, Arizona, United States",The Bachelor of Science in Business Analytics program at Grand Canyon University is designed for students who wanted to develop a strong foundation in business and are also interested in how data informs business practices. ,"14,261 EUR / year",,,B.Sc.,Full-time,Part-time,Online,,Bachelor's,B.Sc.,Full-time & Part-time,Yes,Yes,No
Information Science,University of Colorado at Boulder,"Boulder, Colorado, United States","Undergraduate students in the Department of Information Science will learn to collect, analyze and interpret many different information sources to understand our world.","46,243 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Applied Geographical Information Systems,Flinders University,"Adelaide, South Australia, Australia","The Applied Geographical Information Systems degree at Flinders University provides training for a rewarding career in the field, with excellent facilities and innovative teaching and research.","19,126 EUR / year",month,36.0,Bachelor,Full-time,Blended Learning,,,Bachelor's,Bachelor,Full-time,Blended,Blended,No
Computer and Information Science,The Ohio State University,"Columbus, Ohio, United States","The Computer and Information Science program at The Ohio State University focuses on the development of software and the uses of software to solve practical problems and to support and improve productivity, health, happiness and safety in today's society. ","27,710 EUR / year",month,48.0,Bachelor,Full-time,,,,Bachelor's,Bachelor,Full-time,No,No,No
Geology - Geographic Information Systems Option,University of Texas Arlington,"Texas City, Texas, United States",The Geology - Geographic Information Systems Option offered by University of Texas Arlington is for students who want to combine Geology with computer technology to store and analyze spatial data using GIS software.,"24,632 EUR / year",month,48.0,B.A.,Full-time,,,,Bachelor's,B.A.,Full-time,No,No,No
Mathematics - Applied Statistics,Faculty of Engineering and Information Sciences (EIS),"Wollongong, New South Wales, Australia","Applied Statistics uses mathematical concepts and methods to develop scientific experiments, sample surveys, medical clinical trials and environmental studies. The Bachelor of Mathematics - Applied Statistics offered by the University of Wollongong is flexible, so you can take up to one quarter of your subjects from other disciplines to expand your career options.","20,878 EUR / year",month,36.0,Bachelor,Full-time,Part-time,,,Bachelor's,Bachelor,Full-time & Part-time,No,No,No
