course_name,institution,location,description,cost,dur_period,dur_number,extra_0,extra_1,extra_2,extra_3,extra_4
Computer Information Technology - Data Analytics,Northern Arizona University,Online,"The Computer Information Technology - Data Analytics degree at Northern Arizona University takes the interdisciplinary and global approach needed to prepare you to address technology issues and the changes borne of technical advancements. Here, you can accelerate your career, boost your skill set, and learn to operate more effectively in a variety of professional environments.",499 EUR / credit,,,Part-time,,,,
Data Analytics,Manchester Metropolitan University,"Manchester, England, United Kingdom",Data is everywhere. With this Data Analytics programme from Manchester Metropolitan University you’ll build the analytical skills and techniques to unlock the secrets of big data – information that can be used to solve complex issues and drive strategic decision-making in business.,"17,107 EUR / year",month,12,M.Sc.,Full-time,,,
Business Data Science,University of Otago,"Dunedin, New Zealand",The University of Otago offers Master of Business Data Science and the degree recognises the global demand for qualified Data Scientists.  ,"26,176 EUR / year",month,12,Full-time,,,,
Extended MSc International Business with Data Analytics with Advanced Practice,Ulster University Birmingham Branch,"Birmingham, England, United Kingdom",The Extended MSc International Business with Data Analytics with Advanced Practice from Ulster University Birmingham Branch integrates the Graduate Certificate programme to allow entry for students with equivalent to a standard degree with the MSc International Business with Data Analytics which incorporates a compulsory work internship or an applied consulting project.,"22,349 EUR / year",month,24,Pre-Master,Full-time,,,
Computer Science - Big Data Engineering,Vrije Universiteit Amsterdam,"Amsterdam, Netherlands","In the internet era, data plays center stage. In the Computer Science - Big Data Engineering track from Vrije Universiteit Amsterdam, you study the technology from which these infrastructures are built, allowing you to design and operate solutions for processing, analyzing and managing large quantities of data.","14,500 EUR / year",month,24,M.Sc.,Full-time,,,
Computer Science,University of Twente (UT),"Enschede, Netherlands",The Computer Science programme offered by University of Twente (UT) focuses on the development of ICT systems in their societal context and also on technological aspects and applications of embedded systems.,"15,750 EUR / year",month,24,M.Sc.,Full-time,,,
Big Data,University of Stirling,"Stirling, Scotland, United Kingdom","Big Data skills are in high demand. Gain skills in big data technology, advanced analytics and industrial and scientific applications on the Big Data programme offered by the University of Stirling.","18,707 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Statistics and Data Science,Massachusetts Institute of Technology - MITx,Online,EdX is an online learning platform trusted by over 12 million users offering the Statistics and Data Science course in collaboration with Massachusetts Institute of Technology - MITx. Master the skills needed to solve complex data challenges.,"1,041 EUR / year",month,15,Pre-Master,Part-time,,,
Data Science,"Birkbeck, University of London","London, England, United Kingdom","Funded by the Higher Education Funding Council for England (HEFCE), this intensive course in Data Science at Birkbeck, University of London is designed for graduates who are new to computer science, providing an excellent grounding for working as a data scientist or analyst in industry.","16,775 EUR / year",month,12,M.Sc.,Full-time,,,
Data Science and Computational Intelligence,Coventry University,"Coventry, England, United Kingdom","This Master’s course in Data Science and Computational Intelligence at Coventry University aims to respond to the demand for data scientists with the skills to develop innovative computational intelligence applications, capable of analysing large amounts of complex data to inform businesses decisions and market strategies.","18,321 EUR / year",month,12,M.Sc.,Full-time,,,
Computer Science,Georgia Institute of Technology,Online,"The Computer Science program from Georgia Institute of Technology (Georgia Tech) comprises a curriculum of courses taught by the world-class faculty in the Georgia Tech College of Computing, ranked the country's No. 9 graduate CS department by U.S. News & World Report. ",156 EUR / credit,month,36,M.Sc.,Part-time,,,
"Big Data, Marketing and Management",TBS Business School,"Toulouse, France","The Big Data, Marketing and Management programme offered by TBS Business School aims at providing a solid multi-disciplinary training to help equip i students with the necessary skill sets to solve today’s marketing problems and become an essential part of their future companies’ decision-making process.","16,500 EUR / year",month,12,M.Sc.,Full-time,Blended Learning,,
